Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
2017,Spurs,W,1694.8560017959185,105.61224489795919,13,"755,347","18,423",99.2,"18,131",95.4,"18,277",97.2,82,47,35
2017,Suns,W,1362.0350191951215,107.6951219512195,19,"708,639","17,283",93.8,"17,618",92.5,"17,451",93.2,82,21,61
2017,Thunder,W,1591.7988848965515,106.45977011494253,14,"746,323","18,203",100.0,"18,373",96.4,"18,288",98.2,82,48,34
2017,Timberwolves,W,1452.6340135243902,105.57317073170732,29,"607,203","14,809",76.5,"18,113",95.4,"16,461",85.9,82,47,35
2017,Trailblazers,W,1521.703195744186,107.63953488372093,9,"792,029","19,317",99.4,"17,555",92.2,"18,436",95.8,82,49,33
2017,Warriors,W,1758.1216153737375,116.47474747474747,8,"803,436","19,596",100.0,"19,015",100.3,"19,305",100.2,82,58,24
2017,Wizards,E,1547.5015653052628,109.03157894736842,20,"697,107","17,002",83.8,"17,949",93.5,"17,476",88.5,82,43,39
2018,76ers,E,1527.1002098586962,109.69565217391305,3,"833,503","20,329",100.0,"18,012",93.6,"19,185",96.9,82,51,31
2018,Bucks,E,1511.459703337079,106.11235955056179,24,"685,303","16,714",89.3,"18,380",95.2,"17,547",92.3,82,60,22
2018,Bulls,E,1415.496572768293,102.92682926829268,1,"851,824","20,776",99.3,"18,030",94.4,"19,403",97.0,82,22,60
2018,Cavaliers,E,1574.976019894231,108.8076923076923,2,"843,042","20,562",100.0,"19,071",99.5,"19,825",99.8,82,19,63
2018,Celtics,E,1588.8359516336634,103.51485148514851,11,"744,960","18,624",100.0,"18,588",98.1,"18,606",99.0,82,49,33
2018,Clippers,W,1544.4550097073172,108.98780487804878,22,"697,812","17,019",89.3,"17,735",93.7,"17,373",91.4,82,48,34
2018,Grizzlies,W,1407.0487816707316,99.32926829268293,28,"653,863","15,947",88.0,"17,348",91.2,"16,648",89.7,82,37,45
2018,Hawks,E,1387.7251396219508,103.35365853658537,30,"590,769","14,409",76.9,"17,854",92.7,"16,088",84.7,82,33,49
2018,Heat,E,1516.5590568160924,103.41379310344827,6,"785,250","19,631",100.2,"18,177",94.5,"18,895",97.3,82,29,53
2018,Hornets,W,1474.7535990000001,108.21951219512195,26,"671,404","16,375",85.8,"17,623",91.6,"16,999",88.7,82,39,43
2018,Jazz,W,1584.5181737419352,103.93548387096774,15,"734,806","17,922",90.0,"17,495",92.5,"17,708",91.2,82,39,43
2018,Kings,W,1357.5641749390247,98.82926829268293,18,"649,571","17,555",100.3,"17,478",91.8,"17,515",95.7,82,50,32
2018,Lakers,W,1429.7654415,108.07317073170732,9,"792,608","19,331",97.6,"18,179",94.8,"18,762",96.2,82,39,43
2018,Magic,E,1383.097672109756,103.40243902439025,10,"776,327","18,934",99.3,"18,655",98.6,"18,796",99.0,82,17,65
2018,Mavericks,W,1424.485449390244,102.3170731707317,17,"715,728","17,893",94.9,"17,651",91.9,"17,770",93.4,82,42,40
2018,NY Knicks,E,1426.1390178292684,104.46341463414635,5,"811,453","19,791",103.1,"17,374",91.5,"18,597",97.4,82,33,49
2018,Nets,W,1396.7084009024388,106.59756097560975,29,"622,278","15,556",87.7,"17,687",93.5,"16,622",90.7,82,42,40
2018,Nuggets,W,1542.2020794024386,110.0,20,"702,796","17,141",89.5,"17,871",94.0,"17,506",91.7,82,54,28
2018,Pacers,E,1536.0086834943818,105.1685393258427,27,"658,119","16,051",88.4,"17,749",91.8,"16,889",90.1,82,48,34
2018,Pelicans,W,1530.0065240769234,111.54945054945055,25,"673,920","16,437",95.6,"17,911",93.9,"17,174",94.7,82,33,49
2018,Pistons,E,1476.7414972682927,103.76829268292683,19,"713,945","17,413",82.9,"17,959",93.7,"17,686",88.1,82,41,41
2018,Raptors,E,1642.746028739131,111.18478260869566,4,"813,431","19,839",100.2,"17,673",92.0,"18,756",96.2,82,58,24
2018,Rockets,W,1689.9099280909086,111.08080808080808,16,"716,008","17,900",99.2,"18,369",96.7,"18,137",97.9,82,53,29
2018,Spurs,W,1589.1776100689654,102.39080459770115,12,"754,562","18,403",99.0,"18,427",97.1,"18,415",98.1,82,48,34
2018,Suns,W,1330.646768719512,103.92682926829268,23,"674,655","16,866",91.6,"17,610",92.4,"17,243",92.0,82,19,63
2018,Thunder,W,1564.7782573863637,107.39772727272727,13,"746,323","18,203",100.0,"18,866",99.2,"18,534",99.6,82,49,33
2018,Timberwolves,W,1538.3631270229887,109.05747126436782,21,"699,308","17,056",89.9,"17,850",93.8,"17,453",91.9,82,36,46
2018,Trailblazers,W,1559.2652890581398,105.61627906976744,8,"795,328","19,398",99.8,"17,556",92.7,"18,477",96.3,82,53,29
2018,Warriors,W,1703.2765201067962,112.84466019417475,7,"803,436","19,596",100.0,"18,884",99.6,"19,240",99.8,82,57,25
2018,Wizards,E,1542.085501102273,106.64772727272727,14,"718,946","17,973",88.6,"17,682",92.1,"17,826",90.3,82,32,50
2019,76ers,E,1596.9118881489362,114.35106382978724,1,"838,092","20,441",100.6,"17,895",94.3,"19,168",97.5,73,43,30
2019,Bucks,E,1660.2894981030934,117.29896907216495,17,"721,692","17,602",101.5,"18,185",95.9,"17,893",98.6,73,56,17
2019,Bulls,E,1327.9948543170728,104.9390243902439,2,"823,475","20,084",96.0,"17,822",94.7,"18,953",95.4,65,22,43
2019,Cavaliers,E,1365.4280905,104.47560975609755,8,"793,337","19,349",99.6,"17,632",92.6,"18,490",96.1,65,19,46
2019,Celtics,E,1590.6199780769232,111.37362637362638,11,"763,584","18,624",100.0,"18,671",97.5,"18,647",98.8,72,48,24
2019,Clippers,W,1535.1167577840906,115.11363636363636,20,"710,327","17,325",90.9,"17,233",92.1,"17,279",91.5,72,49,23
2019,Grizzlies,W,1427.5926208292685,103.53658536585365,26,"607,564","15,578",86.0,"17,579",93.3,"16,604",89.8,71,52,19
2019,Hawks,E,1360.4770076463417,113.34146341463415,27,"628,440","15,327",81.8,"17,786",93.7,"16,557",87.8,73,34,39
2019,Heat,E,1480.984375097561,105.70731707317073,5,"805,264","19,640",100.2,"18,176",95.5,"18,908",97.9,67,20,47
2019,Hornets,W,1486.7516903048784,110.7439024390244,23,"676,570","16,501",86.5,"17,648",92.8,"17,074",89.7,73,44,29
2019,Jazz,W,1594.9809171724141,110.91954022988506,14,"750,546","18,306",100.0,"17,517",93.0,"17,911",96.4,65,23,42
2019,Kings,W,1462.336421878049,114.1829268292683,21,"700,975","17,096",97.7,"17,199",91.1,"17,148",94.3,72,44,28
2019,Lakers,W,1493.7314556585366,111.76829268292683,9,"779,087","19,002",95.9,"17,566",93.4,"18,284",94.7,72,31,41
2019,Magic,E,1457.9837344712644,106.4367816091954,10,"778,877","18,997",99.7,"18,862",100.3,"18,929",100.0,66,21,45
2019,Mavericks,W,1451.5087841707318,108.86585365853658,18,"720,024","17,561",93.2,"17,659",92.4,"17,610",92.8,73,33,40
2019,NY Knicks,E,1323.2956396951222,104.57317073170732,3,"820,569","20,013",104.2,"18,073",95.9,"19,043",100.1,75,43,32
2019,Nets,W,1466.775961988506,112.19540229885058,30,"612,597","14,941",84.3,"18,085",94.7,"16,513",89.7,72,35,37
2019,Nuggets,W,1598.3889272604167,110.44791666666667,12,"756,457","18,450",94.5,"17,474",93.6,"17,962",94.1,73,46,27
2019,Pacers,E,1580.6383748372095,107.25581395348837,22,"689,310","16,812",92.6,"17,957",93.7,"17,377",93.1,73,45,28
2019,Pelicans,W,1521.8247923902434,115.4390243902439,25,"656,183","16,004",93.1,"17,667",93.4,"16,835",93.3,72,30,42
2019,Pistons,E,1487.1279512093024,106.62790697674419,24,"675,963","16,486",78.5,"17,819",94.1,"17,153",85.9,66,20,46
2019,Raptors,E,1643.7034404716983,112.66037735849056,4,"812,822","19,824",100.1,"18,239",95.7,"19,032",98.0,72,53,19
2019,Rockets,W,1625.9428064623658,113.27956989247312,16,"740,392","18,058",100.1,"17,921",95.0,"17,989",97.5,72,44,28
2019,Spurs,W,1546.2855437752814,111.0,13,"750,616","18,307",98.5,"17,381",92.3,"17,844",95.4,71,32,39
2019,Suns,W,1298.094038963415,107.5,29,"627,023","15,293",83.0,"17,982",95.3,"16,638",89.2,73,34,39
2019,Thunder,W,1592.4527074252874,113.94252873563218,15,"746,323","18,203",100.0,"17,866",94.7,"18,034",97.3,72,44,28
2019,Timberwolves,W,1508.7096391707319,112.47560975609755,28,"627,543","15,305",80.7,"17,641",93.7,"16,473",87.1,64,19,45
2019,Trailblazers,W,1604.3347559693873,113.84693877551021,7,"799,345","19,496",100.3,"17,992",96.1,"18,753",98.2,74,35,39
2019,Warriors,W,1661.3399351442308,116.9326923076923,6,"803,436","19,596",108.5,"18,790",100.0,"19,193",104.2,65,15,50
2019,Wizards,E,1457.6158119268289,114.02439024390245,19,"716,996","17,487",86.2,"17,509",91.8,"17,498",89.0,72,25,47
