Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
1999,Magic,E,1561.2457296296297,89.22222222222223,12,"430,007","17,200",--,"19,448",--,"18,324",--,82,44,38
1999,Mavericks,W,1373.1539660000003,91.62,18,"411,091","16,443",--,"17,414",--,"16,929",--,82,50,32
1999,NY Knicks,E,1558.1741328571431,86.0,24,"362,837","14,513",--,"16,312",--,"15,413",--,82,41,41
1999,Nets,E,1434.21348,91.38,17,"415,353","16,614",--,"16,640",--,"16,627",--,82,40,42
1999,Nuggets,W,1295.301208,93.48,28,"296,965","11,878",--,"16,751",--,"14,315",--,82,31,51
1999,Pacers,E,1628.2709888888885,94.44444444444444,20,"404,536","16,181",--,"17,906",--,"17,043",--,82,35,47
1999,Pistons,E,1566.9640981818177,89.34545454545454,6,"480,807","19,232",--,"15,568",--,"17,400",--,82,56,26
1999,Raptors,E,1396.8490299999996,91.14,8,"444,585","17,783",--,"17,477",--,"17,630",--,82,42,40
1999,Rockets,W,1518.0305962962966,94.42592592592592,10,"439,190","17,567",--,"15,799",--,"16,683",--,82,45,37
1999,Spurs,W,1654.838823880597,91.68656716417911,19,"407,125","16,285",--,"17,559",--,"16,922",--,82,34,48
1999,Suns,W,1547.2944113207548,95.39622641509433,2,"527,357","21,094",--,"16,259",--,"18,677",--,82,53,29
1999,Thunder,W,1530.414272000001,94.86,7,"472,283","18,891",--,"15,718",--,"17,304",--,82,53,29
1999,Timberwolves,W,1507.4150203703705,92.01851851851852,14,"426,800","17,072",--,"16,628",--,"16,850",--,82,45,37
1999,Trailblazers,W,1586.7985126984129,93.04761904761905,13,"427,974","17,118",--,"16,218",--,"16,668",--,82,50,32
1999,VAN,W,1266.5594979999998,88.86,5,"486,556","19,462",--,"16,406",--,"17,934",--,82,59,23
1999,Warriors,W,1389.8050340000002,88.32,26,"335,837","13,433",--,"15,534",--,"14,484",--,82,19,63
1999,Wizards,E,1473.8099900000002,91.2,21,"402,481","16,099",--,"15,674",--,"15,886",--,82,29,53
2000,76ers,E,1536.2283913043484,94.70652173913044,8,"756,929","18,461",--,"17,206",--,"17,842",--,82,56,26
2000,Bucks,E,1517.1392160919545,100.91954022988506,19,"613,731","15,343",--,"16,499",--,"15,928",--,82,52,30
2000,Bulls,E,1307.1333475609756,84.78048780487805,1,"884,739","22,118",--,"16,270",--,"19,194",--,82,15,67
2000,Cavaliers,E,1433.2596829268289,96.95121951219512,24,"589,221","14,730",--,"16,653",--,"15,691",--,82,30,52
2000,Celtics,E,1459.9537024390247,99.34146341463415,15,"664,882","16,622",--,"16,802",--,"16,712",--,82,36,46
2000,Clippers,W,1276.9904292682934,92.02439024390245,28,"540,750","13,518",--,"15,912",--,"14,715",--,82,31,51
2000,Hawks,E,1447.5933231707318,94.32926829268293,27,"569,864","13,899",--,"16,035",--,"14,954",--,82,56,26
2000,Heat,E,1586.0038141304344,93.16304347826087,23,"589,826","14,745",--,"16,240",--,"15,493",--,82,23,59
2000,Hornets,W,1561.001450000001,98.1046511627907,13,"687,615","17,190",--,"16,880",--,"17,035",--,82,25,57
2000,Jazz,W,1605.6398402173913,95.6195652173913,5,"781,357","19,533",--,"17,094",--,"18,314",--,82,50,32
2000,Kings,W,1536.3408137931037,104.47126436781609,12,"702,716","17,567",--,"18,459",--,"18,013",--,82,46,36
2000,Lakers,W,1679.2352695238103,100.5904761904762,4,"790,520","19,763",--,"18,556",--,"19,159",--,82,53,29
2000,Magic,E,1510.4758560975606,100.07317073170732,7,"771,410","18,814",--,"19,237",--,"19,020",--,82,55,27
2000,Mavericks,W,1456.9267926829273,101.41463414634147,26,"559,864","13,996",--,"16,224",--,"15,124",--,82,48,34
2000,NY Knicks,E,1580.3470602040818,90.87755102040816,25,"587,987","14,699",--,"15,818",--,"15,259",--,82,43,39
2000,Nets,E,1452.8080329268291,98.0,17,"627,421","15,685",--,"16,464",--,"16,075",--,82,53,29
2000,Nuggets,W,1406.1286987804883,98.96341463414635,18,"621,296","15,532",--,"16,122",--,"15,827",--,82,26,56
2000,Pacers,E,1626.8970552380952,100.5904761904762,10,"733,800","18,345",--,"17,119",--,"17,724",--,82,40,42
2000,Pistons,E,1543.6416023529412,102.61176470588235,11,"713,989","17,849",--,"16,400",--,"17,125",--,82,41,41
2000,Raptors,E,1496.5656623529421,96.69411764705882,16,"661,699","16,542",--,"16,946",--,"16,744",--,82,32,50
2000,Rockets,W,1460.8222756097557,99.46341463414635,9,"756,496","18,451",--,"17,724",--,"18,096",--,82,47,35
2000,Spurs,W,1655.9616034883725,95.5,20,"608,309","15,207",--,"16,738",--,"15,973",--,82,45,37
2000,Suns,W,1593.885824175824,97.76923076923077,2,"859,997","21,499",--,"16,805",--,"19,123",--,82,58,24
2000,Thunder,W,1512.9441712643682,98.74712643678161,6,"754,092","18,852",--,"17,179",--,"18,016",--,82,51,31
2000,Timberwolves,W,1519.958124418605,97.90697674418605,21,"600,357","15,008",--,"16,340",--,"15,674",--,82,44,38
2000,Trailblazers,W,1651.6312081632657,96.64285714285714,14,"673,193","16,829",--,"17,148",--,"16,991",--,82,47,35
2000,VAN,W,1319.8891939024393,93.92682926829268,3,"814,665","20,366",--,"17,803",--,"19,085",--,82,50,32
